time,d,rssi
1650977411.0,6.0,78.0
1650977411.0,1.0,56.0
1650977411.0,3.0,66.0
1650977411.0,9.0,86.0
1650977412.0,6.0,79.0
1650977412.0,1.0,56.0
1650977412.0,3.0,72.0
1650977414.0,6.0,77.0
1650977414.0,1.0,53.0
1650977414.0,9.0,74.0
1650977415.0,6.0,76.0
1650977415.0,3.0,72.0
1650977415.0,1.0,58.0
1650977416.0,9.0,75.0
1650977417.0,3.0,63.0
1650977417.0,9.0,84.0
1650977418.0,1.0,56.0
1650977419.0,6.0,72.0
1650977419.0,3.0,65.0
1650977419.0,6.0,76.0
1650977419.0,3.0,63.0
1650977419.0,9.0,80.0
1650977421.0,9.0,86.0
1650977422.0,1.0,68.0
1650977424.0,6.0,78.0
1650977424.0,1.0,66.0
1650977424.0,3.0,72.0
1650977424.0,9.0,84.0
1650977425.0,6.0,84.0
1650977425.0,3.0,71.0
1650977425.0,9.0,79.0
1650977426.0,6.0,78.0
1650977426.0,3.0,65.0
1650977428.0,6.0,84.0
1650977428.0,1.0,56.0
1650977428.0,9.0,75.0
1650977429.0,6.0,83.0
1650977429.0,3.0,63.0
1650977430.0,9.0,74.0
1650977431.0,6.0,81.0
1650977431.0,1.0,56.0
1650977431.0,9.0,79.0
1650977432.0,6.0,85.0
1650977432.0,1.0,57.0
1650977432.0,3.0,63.0
1650977433.0,9.0,75.0
1650977434.0,6.0,69.0
1650977434.0,1.0,54.0
1650977434.0,9.0,77.0
1650977435.0,1.0,57.0
1650977436.0,6.0,75.0
1650977436.0,3.0,63.0
1650977436.0,9.0,90.0
1650977437.0,6.0,84.0
1650977437.0,1.0,65.0
1650977437.0,3.0,75.0
1650977438.0,1.0,71.0
1650977439.0,6.0,81.0
1650977439.0,3.0,71.0
1650977439.0,9.0,101.0
1650977440.0,6.0,83.0
1650977440.0,3.0,66.0
1650977441.0,9.0,78.0
1650977442.0,1.0,60.0
1650977442.0,3.0,66.0
1650977442.0,9.0,77.0
1650977443.0,1.0,60.0
1650977444.0,3.0,66.0
1650977444.0,1.0,56.0
1650977445.0,6.0,73.0
1650977446.0,3.0,63.0
1650977459.0,3.0,70.0
1650977459.0,1.0,68.0
1650977459.0,9.0,83.0
1650977460.0,1.0,63.0
1650977461.0,6.0,77.0
1650977461.0,3.0,72.0
1650977462.0,3.0,65.0
1650977462.0,9.0,77.0
1650977463.0,6.0,70.0
1650977463.0,1.0,55.0
1650977463.0,6.0,72.0
1650977463.0,9.0,79.0
1650977464.0,1.0,56.0
1650977464.0,3.0,64.0
1650977465.0,9.0,82.0
1650977466.0,6.0,71.0
1650977466.0,1.0,55.0
1650977466.0,6.0,84.0
1650977467.0,1.0,63.0
1650977467.0,3.0,64.0
1650977468.0,6.0,90.0
1650977468.0,1.0,63.0
1650977468.0,9.0,95.0
1650977470.0,3.0,67.0
1650977471.0,1.0,59.0
1650977471.0,3.0,67.0
1650977471.0,9.0,80.0
1650977472.0,6.0,88.0
1650977472.0,1.0,59.0
1650977473.0,1.0,60.0
1650977473.0,3.0,66.0
1650977474.0,6.0,83.0
1650977475.0,6.0,76.0
1650977475.0,1.0,56.0
1650977475.0,9.0,83.0
1650977476.0,3.0,68.0
1650977476.0,1.0,56.0
1650977477.0,6.0,69.0
1650977477.0,9.0,85.0
1650977478.0,1.0,63.0
1650977478.0,3.0,63.0
1650977479.0,3.0,64.0
1650977479.0,1.0,61.0
1650977482.0,3.0,65.0
1650977483.0,6.0,84.0
1650977483.0,1.0,58.0
1650977484.0,6.0,76.0
1650977484.0,3.0,66.0
