date,minor,accuracy,rssi
2022-04-26 21:12:43,14,1662.669848,-85
2022-04-26 21:12:43,19004,39.64444522,-86
2022-04-26 21:12:43,19005,35.35052989,-85
2022-04-26 21:12:43,14,1163.147271,-82
2022-04-26 21:12:44,13,1662.669848,-85
2022-04-26 21:12:44,19005,44.40913628,-87
2022-04-26 21:12:44,12,209.3400025,-69
2022-04-26 21:12:45,11,44.5346694,-59
2022-04-26 21:12:45,12,115.8186631,-65
2022-04-26 21:12:45,19004,28.01117503,-83
2022-04-26 21:12:45,19003,39.64444522,-86
2022-04-26 21:12:47,11,31.76147205,-57
2022-04-26 21:12:47,12,72.58934229,-62
2022-04-26 21:12:47,19002,35.35052989,-85
2022-04-26 21:12:47,14,909.9450111,-80
2022-04-26 21:12:47,19004,35.35052989,-85
2022-04-26 21:12:48,19004,49.68990043,-88
2022-04-26 21:12:48,11,31.76147205,-57
2022-04-26 21:12:48,12,85.01840418,-63
2022-04-26 21:12:48,19005,85.69903308,-93
2022-04-26 21:12:48,14,1029.561411,-81
2022-04-26 21:12:49,13,1312.133233,-83
2022-04-26 21:12:49,19003,55.53579998,-89
2022-04-26 21:12:50,19003,49.68990043,-88
2022-04-26 21:12:50,19001,117.3223902,-96
2022-04-26 21:12:50,11,115.8186631,-65
2022-04-26 21:12:50,12,277.9791399,-71
2022-04-26 21:12:51,13,3652.715358,-92
2022-04-26 21:12:51,19003,28.01117503,-83
2022-04-26 21:12:51,19001,85.69903308,-93
2022-04-26 21:12:52,19003,28.01117503,-83
2022-04-26 21:12:52,14,3652.715358,-92
2022-04-26 21:12:52,11,181.1177218,-68
2022-04-26 21:12:52,19001,39.64444522,-86
2022-04-26 21:12:53,12,366.2837502,-73
2022-04-26 21:12:53,14,2626.743172,-89
2022-04-26 21:12:54,13,1662.669848,-85
2022-04-26 21:12:54,11,31.76147205,-57
2022-04-26 21:12:54,19003,28.01117503,-83
2022-04-26 21:12:54,12,134.7243948,-66
2022-04-26 21:12:55,11,26.72270083,-56
2022-04-26 21:12:56,19003,69.13968327,-91
2022-04-26 21:12:56,12,181.1177218,-68
2022-04-26 21:12:56,19002,85.69903308,-93
2022-04-26 21:12:57,11,31.76147205,-57
2022-04-26 21:12:57,19003,24.89178377,-82
2022-04-26 21:12:57,12,181.1177218,-68
2022-04-26 21:12:57,14,1029.561411,-81
2022-04-26 21:12:58,13,319.3918229,-72
2022-04-26 21:12:58,11,26.72270083,-56
2022-04-26 21:12:58,19003,19.59036544,-80
2022-04-26 21:12:59,12,156.3746411,-67
2022-04-26 21:12:59,19002,49.68990043,-88
2022-04-26 21:12:59,19001,69.13968327,-91
2022-04-26 21:13:00,13,241.4693982,-70
2022-04-26 21:13:00,19004,39.64444522,-86
2022-04-26 21:13:00,11,18.77774356,-54
2022-04-26 21:13:01,13,546.5037808,-76
2022-04-26 21:13:01,19003,130.002185,-97
2022-04-26 21:13:01,12,61.83033782,-61
2022-04-26 21:13:02,11,181.1177218,-68
2022-04-26 21:13:02,12,319.3918229,-72
2022-04-26 21:13:04,11,479.1073624,-75
2022-04-26 21:13:05,13,1478.076414,-84
2022-04-26 21:13:05,12,115.8186631,-65
2022-04-26 21:13:05,19004,159.1413852,-99
2022-04-26 21:13:07,13,707.4774921,-78
2022-04-26 21:13:07,11,419.2895897,-74
2022-04-26 21:13:07,14,802.984996,-79
2022-04-26 21:13:08,13,622.3199556,-77
2022-04-26 21:13:08,12,99.34391784,-64
2022-04-26 21:13:08,14,1163.147271,-82
2022-04-26 21:13:09,13,622.3199556,-77
2022-04-26 21:13:09,11,26.72270083,-56
2022-04-26 21:13:09,12,99.34391784,-64
2022-04-26 21:13:10,11,26.72270083,-56
2022-04-26 21:13:11,13,707.4774921,-78
2022-04-26 21:13:11,11,22.42786574,-55
2022-04-26 21:13:11,12,61.83033782,-61
2022-04-26 21:13:11,19003,143.9071696,-98
2022-04-26 21:13:11,12,61.83033782,-61
2022-04-26 21:13:12,13,707.4774921,-78
2022-04-26 21:13:13,14,1662.669848,-85
2022-04-26 21:13:14,13,802.984996,-79
2022-04-26 21:13:14,11,181.1177218,-68
2022-04-26 21:13:14,12,61.83033782,-61
2022-04-26 21:13:15,13,802.984996,-79
2022-04-26 21:13:15,14,2347.53582,-88
2022-04-26 21:13:16,14,4067.376281,-93
2022-04-26 21:13:17,13,3276.481368,-91
2022-04-26 21:13:17,11,85.01840418,-63
2022-04-26 21:13:17,12,241.4693982,-70
2022-04-26 21:13:30,12,479.1073624,-75
2022-04-26 21:13:31,11,22.42786574,-55
2022-04-26 21:13:32,11,44.5346694,-59
2022-04-26 21:13:32,13,419.2895897,-74
2022-04-26 21:13:32,19003,49.68990043,-88
2022-04-26 21:13:34,13,802.984996,-79
2022-04-26 21:13:34,11,15.68488048,-53
2022-04-26 21:13:34,12,115.8186631,-65
2022-04-26 21:13:34,19005,105.7709347,-95
2022-04-26 21:13:34,12,52.53898767,-60
2022-04-26 21:13:35,13,546.5037808,-76
2022-04-26 21:13:36,14,2935.477827,-90
2022-04-26 21:13:37,11,22.42786574,-55
2022-04-26 21:13:37,12,61.83033782,-61
2022-04-26 21:13:38,13,1867.752525,-86
2022-04-26 21:13:38,12,61.83033782,-61
2022-04-26 21:13:38,19002,159.1413852,-99
2022-04-26 21:13:38,14,1662.669848,-85
2022-04-26 21:13:39,19004,194.0523608,-101
2022-04-26 21:13:39,11,419.2895897,-74
2022-04-26 21:13:40,11,209.3400025,-69
2022-04-26 21:13:40,12,277.9791399,-71
2022-04-26 21:13:40,14,1662.669848,-85
2022-04-26 21:13:41,12,181.1177218,-68
2022-04-26 21:13:42,13,1662.669848,-85
2022-04-26 21:13:42,12,115.8186631,-65
2022-04-26 21:13:44,12,134.7243948,-66
2022-04-26 21:13:45,11,37.65650266,-58
2022-04-26 21:13:46,13,802.984996,-79
2022-04-26 21:13:46,12,134.7243948,-66
2022-04-26 21:13:46,14,802.984996,-79
2022-04-26 21:13:47,14,802.984996,-79
2022-04-26 21:13:47,19004,28.01117503,-83
2022-04-26 21:13:47,12,277.9791399,-71
2022-04-26 21:13:48,19004,35.35052989,-85
2022-04-26 21:13:48,19005,105.7709347,-95
2022-04-26 21:13:48,11,18.77774356,-54
2022-04-26 21:13:48,14,1312.133233,-83
2022-04-26 21:13:49,13,546.5037808,-76
2022-04-26 21:13:49,11,31.76147205,-57
2022-04-26 21:13:49,19003,130.002185,-97
